key,source,Translation,context
AchievementStringTable::Achievement.AllTrophies.Name,Demigod,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, AllTrophies, Name"
AchievementStringTable::Achievement.AllTrophies.Description,Obtained all trophies,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, AllTrophies, Description"
AchievementStringTable::Achievement.MissionScavengingJob.Name,Another Life,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionScavengingJob, Name"
AchievementStringTable::Achievement.MissionScavengingJob.Description,Explored the Artok and found a way outside,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionScavengingJob, Description"
AchievementStringTable::Achievement.MissionSalvage.Name,Shields Down,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionSalvage, Name"
AchievementStringTable::Achievement.MissionSalvage.Description,Obtained the laser weapon,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionSalvage, Description"
AchievementStringTable::Achievement.MissionLiberateEnclave.Name,Safe Home,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionLiberateEnclave, Name"
AchievementStringTable::Achievement.MissionLiberateEnclave.Description,Repelled Circle forces and defended the Enclave,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionLiberateEnclave, Description"
AchievementStringTable::Achievement.MissionOldFriend.Name,Old Days Born Anew,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionOldFriend, Name"
AchievementStringTable::Achievement.MissionOldFriend.Description,Reunited with an old friend inside a temple,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionOldFriend, Description"
AchievementStringTable::Achievement.MissionEnclaveWarPreparation.Name,Full Arsenal,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionEnclaveWarPreparation, Name"
AchievementStringTable::Achievement.MissionEnclaveWarPreparation.Description,Obtained the missile launcher,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionEnclaveWarPreparation, Description"
AchievementStringTable::Achievement.MissionDefenderOfTheWeak.Name,Payback,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionDefenderOfTheWeak, Name"
AchievementStringTable::Achievement.MissionDefenderOfTheWeak.Description,Avenged the fallen and guided a civilian convoy to safety,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionDefenderOfTheWeak, Description"
AchievementStringTable::Achievement.MissionSlayingChimera.Name,The Path Forward,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionSlayingChimera, Name"
AchievementStringTable::Achievement.MissionSlayingChimera.Description,Defeated the Overseer and reclaimed the jumpgate,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionSlayingChimera, Description"
AchievementStringTable::Achievement.MissionTemple.Name,Disruption,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTemple, Name"
AchievementStringTable::Achievement.MissionTemple.Description,Obtained the Rite of the Storm inside the Amarok Temple,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTemple, Description"
AchievementStringTable::Achievement.MissionHelios.Name,Cult Slayer,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionHelios, Name"
AchievementStringTable::Achievement.MissionHelios.Description,Liberated Maka Haven,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionHelios, Description"
AchievementStringTable::Achievement.MissionTheiaStep1.Name,Origin,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTheiaStep1, Name"
AchievementStringTable::Achievement.MissionTheiaStep1.Description,Learn more about Forsaken's origin at the lab,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTheiaStep1, Description"
AchievementStringTable::Achievement.MissionShipyard.Name,In the Eye of the Storm,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionShipyard, Name"
AchievementStringTable::Achievement.MissionShipyard.Description,Dissolve the lightning storm surrounding the shipyard and free the Captain,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionShipyard, Description"
AchievementStringTable::Achievement.MissionEosReturn.Name,Set in Motion,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionEosReturn, Name"
AchievementStringTable::Achievement.MissionEosReturn.Description,Recruit an engineer at Rinak Haven,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionEosReturn, Description"
AchievementStringTable::Achievement.MissionActivateDish.Name,The Crimson Void,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionActivateDish, Name"
AchievementStringTable::Achievement.MissionActivateDish.Description,Destroy a demon battleship and enter the Faceless realm,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionActivateDish, Description"
AchievementStringTable::Achievement.MissionFirstRiftBoss.Name,The Nameless Dread,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionFirstRiftBoss, Name"
AchievementStringTable::Achievement.MissionFirstRiftBoss.Description,Destroy the Faceless entity inside the rift,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionFirstRiftBoss, Description"
AchievementStringTable::Achievement.MissionDreamsOfThePast.Name,Time to Spear,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionDreamsOfThePast, Name"
AchievementStringTable::Achievement.MissionDreamsOfThePast.Description,Face your guilt and obtain the Rite of the Star,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionDreamsOfThePast, Description"
AchievementStringTable::Achievement.MissionHeartOfTheFaceless.Name,Disciple,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionHeartOfTheFaceless, Name"
AchievementStringTable::Achievement.MissionHeartOfTheFaceless.Description,Catch a glimpse of the past and witness a ritual,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionHeartOfTheFaceless, Description"
AchievementStringTable::Achievement.MissionBuriedInATomb.Name,Uneasy Alliance,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionBuriedInATomb, Name"
AchievementStringTable::Achievement.MissionBuriedInATomb.Description,You met an unexpected ally and escaped alongside him,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionBuriedInATomb, Description"
AchievementStringTable::Achievement.MissionPhoenixRediscovery.Name,Ghosts,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionPhoenixRediscovery, Name"
AchievementStringTable::Achievement.MissionPhoenixRediscovery.Description,Teach a former mentor a lesson and learn more about Forsaken's past,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionPhoenixRediscovery, Description"
AchievementStringTable::Achievement.MissionAmaranthPart2.Name,Retaliate,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionAmaranthPart2, Name"
AchievementStringTable::Achievement.MissionAmaranthPart2.Description,Stop the carnage at Amaranth Station and bring a tyrant to justice,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionAmaranthPart2, Description"
AchievementStringTable::Achievement.MissionAncientRitual.Name,Power Chord,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionAncientRitual, Name"
AchievementStringTable::Achievement.MissionAncientRitual.Description,Unlock Nara's full potential by obtaining all Rites,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionAncientRitual, Description"
AchievementStringTable::Achievement.MissionTheArmadaStrikes.Name,Ascension,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTheArmadaStrikes, Name"
AchievementStringTable::Achievement.MissionTheArmadaStrikes.Description,Travel into the Rift that's consuming Nimika Prime,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionTheArmadaStrikes, Description"
AchievementStringTable::Achievement.MissionMasterAndDisciple.Name,Rise as One,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionMasterAndDisciple, Name"
AchievementStringTable::Achievement.MissionMasterAndDisciple.Description,Finish the game,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MissionMasterAndDisciple, Description"
AchievementStringTable::Achievement.MasteryOfWeapons.Name,Mastery of Weapons,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfWeapons, Name"
AchievementStringTable::Achievement.MasteryOfWeapons.Description,Achieve full mastery of weapons,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfWeapons, Description"
AchievementStringTable::Achievement.MasteryOfRites.Name,Mastery of Rites,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfRites, Name"
AchievementStringTable::Achievement.MasteryOfRites.Description,Achieve full mastery of rites,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfRites, Description"
AchievementStringTable::Achievement.MasteryOfCombat.Name,Mastery of Combat,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfCombat, Name"
AchievementStringTable::Achievement.MasteryOfCombat.Description,Achieve full mastery of combat,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, MasteryOfCombat, Description"
AchievementStringTable::Achievement.Finish5SideMissions.Name,Helping Hand,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Finish5SideMissions, Name"
AchievementStringTable::Achievement.Finish5SideMissions.Description,Finish 5 side missions,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Finish5SideMissions, Description"
AchievementStringTable::Achievement.FinishAllSideMissions.Name,Paragon,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, FinishAllSideMissions, Name"
AchievementStringTable::Achievement.FinishAllSideMissions.Description,Finish 35 side missions,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, FinishAllSideMissions, Description"
AchievementStringTable::Achievement.VisitAllLocations.Name,Space Traveler,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, VisitAllLocations, Name"
AchievementStringTable::Achievement.VisitAllLocations.Description,Visited 50 locations,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, VisitAllLocations, Description"
AchievementStringTable::Achievement.WinARace.Name,Relentless,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, WinARace, Name"
AchievementStringTable::Achievement.WinARace.Description,Win a race,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, WinARace, Description"
AchievementStringTable::Achievement.Find20Memories.Name,Voices from the Past,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Find20Memories, Name"
AchievementStringTable::Achievement.Find20Memories.Description,Find 25 memories,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Find20Memories, Description"
AchievementStringTable::Achievement.KillWithALargeShip.Name,The Great Destroyer,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, KillWithALargeShip, Name"
AchievementStringTable::Achievement.KillWithALargeShip.Description,Kill 75 enemies while controlling a large ship,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, KillWithALargeShip, Description"
AchievementStringTable::Achievement.UseRepairDrones.Name,Phoenix,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, UseRepairDrones, Name"
AchievementStringTable::Achievement.UseRepairDrones.Description,Use a repair drone while having less than 10% HP,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, UseRepairDrones, Description"
AchievementStringTable::Achievement.KillWhileDrifting.Name,Born to Drift,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, KillWhileDrifting, Name"
AchievementStringTable::Achievement.KillWhileDrifting.Description,Kill a total of 50 enemies while drifting,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, KillWhileDrifting, Description"
AchievementStringTable::Achievement.Kill3InOneDrift.Name,Showoff,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Kill3InOneDrift, Name"
AchievementStringTable::Achievement.Kill3InOneDrift.Description,Kill 3 enemies in one drift,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Kill3InOneDrift, Description"
AchievementStringTable::Achievement.RiteOfTheHunt.Name,Huntress,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheHunt, Name"
AchievementStringTable::Achievement.RiteOfTheHunt.Description,Use the Rite of the Hunt to leap at an enemy and destroy it within 5 seconds,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheHunt, Description"
AchievementStringTable::Achievement.RiteOfTheStar.Name,Two Birds,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheStar, Name"
AchievementStringTable::Achievement.RiteOfTheStar.Description,Use the Rite of the Star to spear two enemies in one go,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheStar, Description"
AchievementStringTable::Achievement.RiteOfTheStorm.Name,It Was An Accident,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheStorm, Name"
AchievementStringTable::Achievement.RiteOfTheStorm.Description,Destroy 5 enemies by disrupting them with the Rite of the Storm,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfTheStorm, Description"
AchievementStringTable::Achievement.RiteOfControl.Name,Crash Test,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfControl, Name"
AchievementStringTable::Achievement.RiteOfControl.Description,Use the Rite of Control to smash two ships into each other,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RiteOfControl, Description"
AchievementStringTable::Achievement.RadiationCloud.Name,Radiation Area,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RadiationCloud, Name"
AchievementStringTable::Achievement.RadiationCloud.Description,Kill 3 enemies with a Tier 3 missile's radiation cloud,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, RadiationCloud, Description"
AchievementStringTable::Achievement.GatlingVsArmor.Name,Controlled Demolition,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, GatlingVsArmor, Name"
AchievementStringTable::Achievement.GatlingVsArmor.Description,Defeat an armored enemy by using the gatling,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, GatlingVsArmor, Description"
AchievementStringTable::Achievement.Overcharge.Name,Overcharged,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Overcharge, Name"
AchievementStringTable::Achievement.Overcharge.Description,Overcharge your energy bar by using the Tier 3 laser weapon,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, Overcharge, Description"
AchievementStringTable::Achievement.DieInPermadeath.Name,At Least You Tried,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, DieInPermadeath, Name"
AchievementStringTable::Achievement.DieInPermadeath.Description,You died in permadeath mode,,"Core/Achievements/AchievementDataTable.json
AchievementDataTable, DieInPermadeath, Description"
43E5CFE44725AB2AEB6C9A91DC2FD660,Press {ActionInput} to jump,,"Core/FTLTravel/BP_FTLEntryPoint.json
Name: null"
9C76930341DD5FBE54643B99A0834F6E,This jump gate is not active.,,"Core/FTLTravel/BP_FTLEntryPoint.json
Name: null"
7A19D49B45E21F7568FB00A29BBFB4EC,AR-1,,"Core/Inventory/Assets/EHangarPlayerShipType.json
Name: EHangarPlayerShipType
Value"
D71CBF3C436BB029B17703BE96547DD4,Forsaken,,"Core/Inventory/Assets/EHangarPlayerShipType.json
Name: EHangarPlayerShipType
Value"
163AB5184EB9045B71407197758B2E7B,Other,,"Core/Inventory/Assets/EHangarPlayerShipType.json
Name: EHangarPlayerShipType
Value"
64FCA59D4554C3AFE173DD81775806A2,Capital Ship,,"Core/Inventory/Assets/EHangarPlayerShipType.json
Name: EHangarPlayerShipType
Value"
Mastery::Mastery.Gatling.Name,Gatling Gun,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.Gatling.Requirement,Destroy enemies with a Gatling gun.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.Gatling.Progress,Enemies destroyed with Gatling gun,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.Gatling.Bonus,Reduced overheating,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.LaserCannon.Name,Laser Cannon,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.LaserCannon.Requirement,Destroy enemy shields with a laser.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.LaserCannon.Progress,Shields destroyed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.LaserCannon.Bonus,Laser charge speed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.MissingLauncher.Name,Missile Launcher,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.MissingLauncher.Requirement,Kill armored enemies with a missile launcher.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.MissingLauncher.Progress,Armored enemies killed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.MissingLauncher.Bonus,Missile reload speed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteHunt.Name,Hunter,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteHunt.Requirement,Kill an enemy within seconds after leaping behind it.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteHunt.Progress,Enemies killed after a leap,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteHunt.Bonus,Leap distance,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteHunt2.Name,Apex Predator,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteHunt2.Requirement,Destroy 3 enemies within 20 seconds after leaping at them.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteHunt2.Progress,Times suceeded,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteHunt2.Bonus,Chance of energy refund,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteStorm.Name,Storm,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteStorm.Requirement,Kill enemies you disrupted with the Rite of the Storm.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteStorm.Progress,Enemies disrupted,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteStorm.Bonus,Disruption time,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteStorm2.Name,Crash Landing,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteStorm2.Requirement,Let disrupted enemies fatally crash into obstacles.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteStorm2.Progress,Enemies destroyed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteStorm2.Bonus,Damage to disrupted targets,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteStar.Name,Star,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteStar.Requirement,Kill enemies by spearing through them.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteStar.Progress,Enemies speared,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteStar.Bonus,Rite duration,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteStar2.Name,Ablaze,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteStar2.Requirement,Use Rite of the Star to spear through at least 2 enemies simultaneously.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteStar2.Progress,Times suceeded,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteStar2.Bonus,Damage,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteControl.Name,Control,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteControl.Requirement,Thrust enemies into each other.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteControl.Progress,Enemies thrown,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteControl.Bonus,Time under control,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteControl2.Name,Collision Course,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteControl2.Requirement,Thrust enemies into objects.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteControl2.Progress,Enemies thrusted,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteControl2.Bonus,Throw speed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.RiteSenses.Name,Senses,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.RiteSenses.Requirement,Sense and pick up loot caches.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.RiteSenses.Progress,Credits collected,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.RiteSenses.Bonus,Collected credits from loot caches.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.EnemyDestroyed.Name,Destroyer,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.EnemyDestroyed.Requirement,Destroy enemy ships and structures.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.EnemyDestroyed.Progress,Enemies destroyed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.EnemyDestroyed.Bonus,Damage dealt,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.HealthRestoredWithPickups.Name,Reckless,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.HealthRestoredWithPickups.Requirement,Restore your ship hull from pickups.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.HealthRestoredWithPickups.Progress,Hull restored,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.HealthRestoredWithPickups.Bonus,Hull from pickups,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
Mastery::Mastery.PerfectDodge.Name,Perfect Dodge,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DisplayName"
Mastery::Mastery.PerfectDodge.Requirement,Perform perfect dodges.,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelRequirement"
Mastery::Mastery.PerfectDodge.Progress,Perfect dodges performed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionLevelProgress"
Mastery::Mastery.PerfectDodge.Bonus,Energy recharge speed,,"Core/Mastery/BP_MasteryDefinitions.json
Name: Default__BP_MasteryDefinitions_C
DescriptionBonus"
