"key","source","Translation"
"06A786924D5283FC2D496C8985C690A9"," (1): EASY"," (1): ЛЕГКО"
"4F6962B74E0647257E2C6A88F4A352DF"," (2): NORMAL"," (2): НОРМАЛЬНО"
"95A4140743BD5D9AF655088A4ABF435B"," (3): HARD"," (3): ВАЖКО"
"CDD4ADDC495AF0639462999EB399D04D"," Stationary Paper"," Папірець"
"A43FEA2C49E81015BE1DEABAB5D8F2FF"," Stationary Papers"," Папірці"
"6144DCDF45CA5F53BE69C4BFBCF4FE76","##","##"
"2849367B453F99877E3C39841A844174","%","%"
"37A8E3F74CA159F66E2CF58809E083D0","%","%"
"7F2C0C684F899A9D7AB8FB98A240081F","%","%"
"8A70F68D4AFF674261090C820E713FED","%","%"
"BB8745EC4580AB922BF3628F17D6BFD5","%","%"
"EB7AD8A94F555863B30F94BC13EC9C25","%","%"
"F5CA9EE94AC979716F50B888CF88FF1D","%","%"
"33DAFA8E4619CEC1B4F24B945076B07F","’Did ya get any Witch Scout cookies this year?!’","«Вам дісталося відьомське печиво цього року?!»"
"2BBF488D423F1C53255268A443DD4518","(C)","(C)"
"310DA87542E9872A46F59E97FC51600B","(Default) Get ready to think.","(Типово) Приготуйтеся думати."
"01D3839B4C66DA51AB7DCF8F5CE036E3","(Default) SHODAN is watching the Hacker’s every move.","(Типово) ШОДАН слідкує за кожним вашим рухом."
"5ED8F7064F086C77721699A614E58B60","(Default) SHODAN’s security protocols pursue the Hacker while Cyberdenizens engage on sight.","(Типово) Протоколи безпеки ШОДАН переслідують вас, а кібермешканці атакують, щойно побачать."
"8F43D25341B8770D963769ABB96DDA5E","(Default) The Hacker is never alone as enemies are numerous and pack a punch.","(Типово) Ви ніколи не будете наодинці. Вороги численні й завдають нищівних ударів."
"ADEB56824895F88DE39A159AF1D11DDA","(Freakout) Wh...my body.. where is... (Calms down unnaturally) I am perfected.","(Істерично) Д... моє тіло... де... (неприродно заспокоюється) Я досконала."
"B93786AE4657DE983813BCA776875267","(Freakout) What happened to... (chuckles).","(Істерично) Що сталося з... (хихикає)."
"C6EC7255444192A3572C3F9BA74D1235","(Pleading) Come back...","(Благає) Повернися..."
"038EE9804D9B9C6F7537CD80AEF0F23F","(Reaver Human) (Begging) End me!","(Жертва мізкожера) (благає) Прикінчи мене!"
"E6C41A32473C0CF679B5F282433C3098","(Reaver Human) (Begging) Help me.","(Жертва мізкожера) (благає) Допоможи."
"E7709C8F43289DCD7640279AE0DA82CC","(Reaver Human) (Begging) It’s inside me!","(Жертва мізкожера) (благає) Воно всередині мене!"
"8E8530034E1D2E995B4E889D21C16DB9","(Reaver Human) (Begging) Kill me!","(Жертва мізкожера) (благає) Убий мене!"
"4FADB01A493503960591A7B36A3A17CE","(Reaver Human) (Begging) Please, I have a daughter!","(Жертва мізкожера) (благає) Будь ласка, у мене є донька!"
"1C68610B4AF3BD51E9D36F930669D640","(Reaver Human) (Begging) Who’s there?","(Жертва мізкожера) (благає) Хто тут?"
"70CA88454500AF2297CE0DBBACAEBE33","(Reaver Human) (Confused) A..ahhhhhH!","(Жертва мізкожера) (розгублено) А...ах!"
"EF2EE4A84BE343451AB55B8E327C4BB0","(Reaver Human) (Confused) What are you?","(Жертва мізкожера) (розгублено) Що ти таке?"
"95BC19F34DB57902FAB2EF85F974732A","(Reaver Human) (Crying)","(Жертва мізкожера) (плаче)"
"4F28F240495064BD23B6CCA4BCA13A56","(Reaver Human) (Deserpate) Pleasepleaseplease...","(Жертва мізкожера) (зневірено) Будь ласка, будь ласка, будь ласка..."
"DAB97AE44AF49C2141DA64B26471AB8B","(Reaver Human) (Deserpate) They always leave...","(Жертва мізкожера) (зневірено) Вони завжди полишають..."
